Tanggal,Harga_Prediksi,Komoditas
2027-02-02,33903,Daging Ayam
2027-02-03,33976,Daging Ayam
2027-02-04,33987,Daging Ayam
2027-02-05,33992,Daging Ayam
2027-02-08,34005,Daging Ayam
2027-02-09,34005,Daging Ayam
2027-02-10,34047,Daging Ayam
2027-02-11,34079,Daging Ayam
2027-02-12,34125,Daging Ayam
2027-02-15,34223,Daging Ayam
2027-02-16,34320,Daging Ayam
2027-02-17,34391,Daging Ayam
2027-02-18,34436,Daging Ayam
2027-02-19,34395,Daging Ayam
2027-02-22,34389,Daging Ayam
2027-02-23,34372,Daging Ayam
2027-02-24,34409,Daging Ayam
2027-02-25,34512,Daging Ayam
2027-02-26,34627,Daging Ayam
2027-03-01,34795,Daging Ayam
2027-03-02,34882,Daging Ayam
2027-03-03,34934,Daging Ayam
2027-03-04,35023,Daging Ayam
2027-03-05,35182,Daging Ayam
2027-03-08,35382,Daging Ayam
2027-03-09,35480,Daging Ayam
2027-03-10,35536,Daging Ayam
2027-03-11,35649,Daging Ayam
2027-03-12,35745,Daging Ayam
2027-03-15,35856,Daging Ayam
2027-03-16,36136,Daging Ayam
2027-03-17,36157,Daging Ayam
2027-03-18,36239,Daging Ayam
2027-03-19,36319,Daging Ayam
2027-03-22,36229,Daging Ayam
2027-03-23,36161,Daging Ayam
2027-03-24,36172,Daging Ayam
2027-03-25,36159,Daging Ayam
2027-03-26,36145,Daging Ayam
2027-03-29,35943,Daging Ayam
2027-03-30,35794,Daging Ayam
2027-03-31,35594,Daging Ayam
2027-04-01,35459,Daging Ayam
2027-04-02,35407,Daging Ayam
2027-04-05,35321,Daging Ayam
2027-04-06,35376,Daging Ayam
2027-04-07,35287,Daging Ayam
2027-04-08,35282,Daging Ayam
2027-04-09,35280,Daging Ayam
2027-04-12,35269,Daging Ayam
2027-04-13,35281,Daging Ayam
2027-04-14,35196,Daging Ayam
2027-04-15,35122,Daging Ayam
2027-04-16,35061,Daging Ayam
2027-04-19,35042,Daging Ayam
2027-04-20,34992,Daging Ayam
2027-04-21,35022,Daging Ayam
2027-04-22,35026,Daging Ayam
2027-04-23,34942,Daging Ayam
2027-04-26,35121,Daging Ayam
2027-04-27,35212,Daging Ayam
2027-04-28,35367,Daging Ayam
2027-04-29,35594,Daging Ayam
2027-04-30,35711,Daging Ayam
2027-05-03,35992,Daging Ayam
2027-05-04,36202,Daging Ayam
2027-05-05,36268,Daging Ayam
2027-05-06,36314,Daging Ayam
2027-05-07,36224,Daging Ayam
2027-05-10,36212,Daging Ayam
2027-05-11,36222,Daging Ayam
2027-05-12,36210,Daging Ayam
2027-05-13,36161,Daging Ayam
2027-05-14,36207,Daging Ayam
2027-05-17,36050,Daging Ayam
2027-05-18,35870,Daging Ayam
2027-05-19,35780,Daging Ayam
2027-05-20,35615,Daging Ayam
2027-05-21,35471,Daging Ayam
2027-05-24,35356,Daging Ayam
2027-05-25,35339,Daging Ayam
2027-05-26,35315,Daging Ayam
2027-05-27,35315,Daging Ayam
2027-05-28,35335,Daging Ayam
2027-05-31,35284,Daging Ayam
2027-06-01,35251,Daging Ayam
2027-06-02,35198,Daging Ayam
2027-06-03,35120,Daging Ayam
2027-06-04,35118,Daging Ayam
2027-06-07,35101,Daging Ayam
