iter	Logloss
0	0.6875481716
1	0.6824228148
2	0.6776099439
3	0.6730610886
4	0.6688684153
5	0.6649119562
6	0.6611938062
7	0.6577645114
8	0.6545381136
9	0.6514358391
10	0.6485621432
11	0.645949933
12	0.6434254827
13	0.6411777723
14	0.6390060191
15	0.636965265
16	0.6349497714
17	0.6331008163
18	0.6313319295
19	0.6297234701
20	0.6282131509
21	0.6267541935
22	0.625351429
23	0.6241454902
24	0.6229449626
25	0.621799527
26	0.6207477948
27	0.619759821
28	0.6188052542
29	0.6179288219
30	0.6170901741
31	0.6163117731
32	0.6155584689
33	0.614830395
34	0.6141637132
35	0.6134847829
36	0.6128863356
37	0.6123348146
38	0.6117824659
39	0.6112603809
40	0.6107620751
41	0.6102833796
42	0.6098168224
43	0.6094143385
44	0.609007788
45	0.6086072739
46	0.6082482668
47	0.6078894678
48	0.6075262261
49	0.6071936746
50	0.6069035311
51	0.6066178949
52	0.6063395648
53	0.6060639711
54	0.6057993399
55	0.6055502714
56	0.6053055458
57	0.6051111729
58	0.6048890138
59	0.6046926911
60	0.6044976616
61	0.6043161622
62	0.6040939622
63	0.6039341353
64	0.603774977
65	0.6035976765
66	0.6034221068
67	0.6032665269
68	0.6031189142
69	0.6029372886
70	0.6028046148
71	0.6026711002
72	0.6025293073
73	0.602363501
74	0.6022432997
75	0.6021058869
76	0.6019999986
77	0.6018743193
78	0.6017519398
79	0.6016423832
80	0.6015487572
81	0.6014604152
82	0.6013525899
83	0.6012374427
84	0.6010778563
85	0.6010000129
86	0.6008872432
87	0.6007993617
88	0.6006699436
89	0.600569874
90	0.6004800432
91	0.6003891867
92	0.6003120199
93	0.6002528749
94	0.6001775716
95	0.6000585992
96	0.5999840398
97	0.599930342
98	0.5998786468
99	0.5998139121
100	0.5997422761
101	0.5996716274
102	0.5995515707
103	0.5994544083
104	0.5993886202
105	0.5993123874
106	0.5992454377
107	0.5991918869
108	0.5991266253
109	0.5990582759
110	0.5989916638
111	0.5988681125
112	0.5988086692
113	0.5987558366
114	0.598705731
115	0.5986534853
116	0.5986142719
117	0.5985723063
118	0.5985205944
119	0.5984758917
120	0.5984311996
121	0.5983288051
122	0.5982597438
123	0.5982264438
124	0.5981538124
125	0.5981111488
126	0.5980262692
127	0.5979534684
128	0.5978444109
129	0.5978073573
130	0.5977758401
131	0.5977117043
132	0.597646707
133	0.5975816338
134	0.5975421584
135	0.5974803318
136	0.5974500538
137	0.5974064901
138	0.5973584076
139	0.5973280213
140	0.5972869182
141	0.5972476164
142	0.5972055719
143	0.5971747426
144	0.5971347975
145	0.5971028447
146	0.5970702442
147	0.5970361682
148	0.5969887169
149	0.5969484023
150	0.5969204979
151	0.5968296638
152	0.5967978139
153	0.5967748851
154	0.5967435907
155	0.5966516983
156	0.5965465064
157	0.5965253992
158	0.5964751523
159	0.5963963807
160	0.5963725775
161	0.5963509711
162	0.5963088053
163	0.5962086256
164	0.596159975
165	0.5961339058
166	0.5961155333
167	0.5960672701
168	0.5960401994
169	0.5960156344
170	0.5959546528
171	0.595931061
172	0.5959132252
173	0.5958797976
174	0.5958603316
175	0.5958171276
176	0.595750989
177	0.595714033
178	0.5956878364
179	0.5956627408
180	0.5956384958
181	0.5956129102
182	0.59556938
183	0.5955518843
184	0.5955226709
185	0.5954859761
186	0.5954728988
187	0.5954080813
188	0.5953623063
189	0.5952837986
190	0.5952613085
191	0.5952539766
192	0.5952235479
193	0.5951941654
194	0.5951777645
195	0.5951577027
196	0.5951453529
197	0.5951267501
198	0.5951151848
199	0.5950719572
200	0.5950582717
201	0.5950166304
202	0.5949979047
203	0.5949801961
204	0.594950873
205	0.5949331728
206	0.5948718586
207	0.5948570827
208	0.5948438984
209	0.5948045059
210	0.5947614576
211	0.5947195826
212	0.5946345481
213	0.5946103174
214	0.5945937671
215	0.5945693643
216	0.5945606887
217	0.5945281753
218	0.5944993047
219	0.5944655004
220	0.5944502885
221	0.594442262
222	0.5944026269
223	0.594377284
224	0.5943630193
225	0.5943346343
226	0.5943046909
227	0.5942673193
228	0.5942251334
229	0.5941777225
230	0.5941385996
231	0.5941136873
232	0.5940857562
233	0.5940704033
234	0.594055884
235	0.5940465247
236	0.5940167034
237	0.5940060956
238	0.5939884907
239	0.5939582854
240	0.593927083
241	0.5938953706
242	0.5938500825
243	0.593832242
244	0.5938158809
245	0.5937991299
246	0.5937839661
247	0.5937417565
248	0.5936965765
249	0.593676063
250	0.5936720963
251	0.5936687342
252	0.5936284558
253	0.5936209872
254	0.5936086445
255	0.5935945591
256	0.5935229403
257	0.5934842097
258	0.5934528481
259	0.5934376117
260	0.5934266079
261	0.5933361915
262	0.5933253415
263	0.593303408
264	0.593290587
265	0.5932827083
266	0.593271971
267	0.5932282598
268	0.5932131218
269	0.5932014745
