iter	Passed	Remaining
398	104815	289227
399	105080	288970
400	105340	288701
401	105586	288392
402	105794	287980
403	106065	287742
404	106294	287388
405	106594	287228
406	106802	286819
407	107058	286539
408	107307	286240
409	107528	285868
410	107816	285674
411	108104	285480
412	108373	285234
413	108642	284989
414	108890	284689
415	109185	284512
416	109453	284264
417	109802	284225
418	110162	284215
419	110457	284033
420	110734	283806
421	111106	283822
422	111309	283404
423	111535	283047
424	111872	282971
425	112451	283504
426	114697	288219
427	117954	295438
428	120353	300462
429	122760	305473
430	125715	311810
431	128073	316626
432	130862	322472
433	133745	328507
434	135424	331556
435	137074	334512
436	138793	337613
437	139699	338722
438	139955	338252
439	140198	337751
440	140464	337305
441	140757	336926
442	141055	336558
443	141342	336166
444	141610	335727
445	141839	335199
446	142024	334566
447	142314	334185
448	142571	333725
449	142818	333243
450	143112	332870
451	143392	332467
452	143659	332033
453	143889	331515
454	144082	330915
455	144384	330564
456	144646	330122
457	144910	329687
458	145200	329311
459	145521	329005
460	145685	328346
461	145946	327906
462	146182	327411
463	146383	326839
464	146614	326335
465	146895	325944
466	147128	325447
467	147351	324927
468	147635	324546
469	147927	324182
470	148075	323502
471	148345	323091
472	148639	322733
473	148935	322379
474	149179	321912
475	149473	321555
476	149776	321218
477	150071	320864
478	150365	320507
479	150581	319985
480	150866	319611
481	151132	319196
482	151340	318661
483	151658	318356
484	151956	318011
485	152177	317506
486	152427	317061
487	152711	316689
488	153000	316325
489	153290	315965
490	153593	315633
491	153850	315206
492	154086	314736
493	154385	314395
494	154740	314170
495	155018	313788
496	155324	313461
497	155633	313142
498	155906	312749
499	156181	312363
500	156445	311953
501	156781	311688
502	156990	311172
503	157327	310909
504	157587	310494
505	157833	310051
506	158114	309679
507	158375	309268
508	158636	308857
509	158919	308490
510	159203	308126
511	159506	307797
512	159742	307340
513	160035	306994
514	160298	306590
515	160582	306226
516	160788	305715
517	161043	305298
518	161245	304781
519	161537	304436
520	161832	304095
521	162067	303644
522	162356	303293
523	162620	302896
524	162870	302474
525	163124	302058
526	163426	301734
527	163709	301374
528	163992	301015
529	164343	300780
530	164621	300410
531	164890	300025
532	165144	299615
533	165466	299326
534	165781	299026
535	166081	298699
536	166299	298224
537	166519	297753
538	166766	297333
539	167038	296956
540	167327	296612
541	167604	296245
542	167874	295867
543	168127	295459
544	168395	295078
545	168644	294664
546	168899	294261
547	169125	293809
548	169396	293436
549	169668	293063
550	169992	292781
551	170215	292327
552	170568	292094
553	170867	291770
554	171121	291369
555	171359	290941
556	171554	290441
557	171884	290171
558	172105	289715
559	172349	289300
560	172508	288743
561	172750	288327
562	172956	287851
563	173221	287474
564	173461	287055
565	173759	286733
566	174031	286369
567	174309	286015
568	174590	285665
569	174852	285285
570	175157	284976
571	175444	284637
572	175701	284250
573	175981	283900
574	176220	283484
575	176428	283021
576	176707	282670
577	177032	282393
578	177330	282075
579	177583	281683
580	177902	281398
581	178200	281079
582	178482	280735
583	178819	280476
584	179083	280105
585	179337	279717
586	180054	280050
587	181111	280908
588	181323	280450
589	181537	279998
590	181821	279654
591	182137	279360
592	182406	278992
593	182713	278684
594	183048	278418
595	183324	278062
596	183610	277722
597	183972	277497
598	184284	277196
599	184594	276892
600	184983	276705
601	185233	276311
602	185427	275834
603	185682	275449
604	185932	275057
605	186234	274742
606	186492	274362
